CardNumber,CardName,Rarity
1,Duck,Rare
2,Arctic Fox,Rare
3,Badger,Common
4,Eagle,Rare
5,Rabbit,Common
6,Hummingbird,Rare
7,Squirrel,Common
8,Mouse,Common
9,Deer,Common
10,Hedgehog,Common
11,Fox,Common
12,Owl,Rare
13,Newt,Rare
14,Butterfly,Rare
15,Robin,Common
16,Frog,Common
17,Sheep,Common
18,Beaver,Rare
19,Boar,Common
20,Skunk,Rare
21,Bee,Common
22,Bear,Common
23,Raccoon,Common
24,Otter,Rare
25,Snail,Common
26,Finnick,Epic
27,Quentin,Epic
28,Alexandre,Epic
29,Luna,Epic
30,The Golden Seed,Legendary
31,Duck,Rare
32,Arctic Fox,Rare
33,Cicada,Common
34,Sugar Glider,Rare
35,Raccoon,Common
36,Mink,Common
37,Black Bear,Rare
38,Porcupine,Common
39,Skunk,Common
40,Fireflies,Common
41,Swan,Rare
42,Badger,Common
43,Otter,Common
44,Bat,Common
45,Hedgehog,Common
46,Tarantula,Rare
47,Rat,Common
48,Wombat,Common
49,Owl,Rare
50,Stag,Rare
51,Nightingale,Common
52,Python,Rare
53,Gerbil,Common
54,Beaver,Common
55,Spring,Epic
56,Summer,Epic
57,Autumn,Epic
58,Winter,Epic
59,Digby,Epic
60,The Golden Sapling,Legendary
61,Duck,Common
62,Arctic Fox,Common
63,Raccoon,Common
64,Rat,Common
65,Chameleon,Rare
66,Kingfisher,Rare
67,Hedgehog,Common
68,Ibex,Common
69,Red Panda,Rare
70,Grey Squirrel,Common
71,Doe,Rare
72,Badger,Common
73,Skunk,Common
74,Stoat,Rare
75,Tortoise,Rare
76,Snail,Rare
77,Blackbird,Common
78,Tawny Owl,Common
79,Pine Marten,Rare
80,Opossum,Common
81,Swan,Common
82,Grey Wolf,Common
83,Fire Salamander,Rare
84,Beaver,Common
85,Wildcat,Rare
86,Hazel,Epic
87,Charlie,Epic
88,Kevin,Epic
89,Diana,Epic
90,Chester,Mythic
91,Football,Mythic
92,Mallowrilla,Mythic
93,T-Rex,Mythic
94,Unicorns,Mythic
95,Nemo,Mythic
96,Jasper,Mythic
97,Mr P,Mythic
98,Blackbird,Mythic
99,Warlock,Mythic
100,Paradise Island,Mythic
101,African Black Duck,Rare
102,Fennec Fox,Rare
103,Baboon,Common
104,Vulture,Rare
105,Warthog,Common
106,Cheetah,Rare
107,Giraffe,Rare
108,Zebra,Common
109,Crocodile,Common
110,Mandrill,Rare
111,Dung Beetle,Common
112,Hippopotamus,Common
113,Okapi,Common
114,Hyena,Rare
115,Impala,Common
116,Antelope,Common
117,Heron,Rare
118,Ostrich,Common
119,Flamingo,Rare
120,Honey Badger,Common
121,Black Mamba,Common
122,Bearded Dragon,Rare
123,Meerkat,Rare
124,Wildebeest,Common
125,Buffalo ,Epic
126,Leopard,Epic
127,Rhino,Epic
128,Elephant,Epic
129,Lion,Epic
130,Tree of Life,Legendary
131,Seahorse,Common
132,Blue Whale,Common
133,Barracuda,Common
134,Sea Lion,Common
135,Clownfish,Common
136,Sea Otter,Common
137,Blue Tang,Rare
138,Salmon,Common
139,Beluga Whale,Rare
140,Crab,Common
141,Catfish,Common
142,Sea Turtle,Rare
143,Orca,Rare
144,Manatee,Common
145,Dolphin,Common
146,Tuna,Common
147,Sea Snake,Rare
148,Squid,Rare
149,Walrus,Common
150,Prawn,Rare
151,Seal,Common
152,Oyster,Rare
153,Lobster,Rare
154,Starfish,Common
155,Pufferfish,Rare
156,Shark,Epic
157,Octopus,Epic
158,Manta Ray,Epic
159,Jellyfish,Epic
160,Coral Reef,Legendary
161,Storm Dragon,Mythic
162,Pegasus,Mythic
163,Orca,Mythic
164,Cat,Mythic
165,Pixie,Mythic
166,Titan,Mythic
167,Miracle,Mythic
168,Phoenix,Mythic
169,Lilo,Mythic
170,Gerald,Mythic
171,Squeak and Gerald,Mythic
172,Potato,Mythic
173,Llando,Mythic
174,Connor,Mythic
175,Hedgehog,Mythic
176,Cassowary,Mythic
177,Quokka,Mythic
178,Gesundheit,Mythic
179,Prince Quack,Mythic
180,Golden Woods,Mythic
181,Duck,Rare
182,Arctic Fox,Rare
183,Deer,Common
184,Badger,Common
185,Rabbit,Common
186,Red Squirrel,Common
187,Hedgehog,Common
188,Owl,Rare
189,Woodpecker,Rare
190,Otter,Common
191,Pheasant,Common
192,Lynx,Rare
193,Bear,Common
194,Weasel,Rare
195,Dormouse,Common
196,Bluetit,Common
197,Grey Wolf,Rare
198,Beavers,Epic
199,Swans,Epic
200,Winter,Legendary
201,Duck,Rare
202,Arctic Fox,Rare
203,Deer,Common
204,Badger,Common
205,Rabbit,Common
206,Red Squirrel,Common
207,Hedgehog,Common
208,Owl,Rare
209,Woodpecker,Rare
210,Otter,Common
211,Pheasant,Common
212,Lynx,Rare
213,Bear,Common
214,Weasel,Rare
215,Dormouse,Common
216,Bluetit,Common
217,Grey Wolf,Rare
218,Beavers,Epic
219,Swans,Epic
220,Winter,Legendary
